sale_id,customer_id,product_id,amount,date
100001,4092,167,126.81,2025-07-29
100002,88,107,419.06,2025-07-29
100003,3916,231,359.12,2025-07-29
100004,284,244,710.69,2025-07-29
100005,2803,259,599.03,2025-07-29
100006,204,142,880.91,2025-07-29
100007,4192,233,317.34,2025-07-29
100008,3270,143,416.45,2025-07-29
100009,3855,199,522.3,2025-07-29
100010,3125,217,724.0,2025-07-29
100011,780,288,831.68,2025-07-29
100012,2953,244,628.07,2025-07-29
100013,3301,229,221.31,2025-07-29
100014,4202,186,940.55,2025-07-29
100015,4915,217,967.13,2025-07-29
100016,2519,244,76.23,2025-07-29
100017,1097,193,239.45,2025-07-29
100018,3966,128,397.38,2025-07-29
100019,4707,267,267.6,2025-07-29
100020,792,250,668.74,2025-07-29
100021,453,150,831.35,2025-07-29
100022,2215,177,210.79,2025-07-29
100023,89,117,110.08,2025-07-29
100024,984,183,644.07,2025-07-29
100025,2086,248,366.91,2025-07-29
100026,2568,179,835.38,2025-07-29
100027,351,286,552.51,2025-07-29
100028,2067,228,122.88,2025-07-29
100029,2993,204,840.39,2025-07-29
100030,929,275,46.77,2025-07-29
100031,4363,172,704.22,2025-07-29
100032,2147,267,214.98,2025-07-29
100033,2172,164,65.08,2025-07-29
100034,3085,237,249.29,2025-07-29
100035,1921,207,973.75,2025-07-29
100036,382,257,117.7,2025-07-29
100037,4852,169,838.18,2025-07-29
100038,932,170,607.23,2025-07-29
100039,2719,167,905.9,2025-07-29
100040,2285,224,203.45,2025-07-29
100041,4671,219,684.8,2025-07-29
100042,4825,163,651.72,2025-07-29
100043,1590,201,962.4,2025-07-29
100044,277,166,682.95,2025-07-29
100045,96,123,806.63,2025-07-29
100046,3643,142,359.57,2025-07-29
100047,147,220,490.48,2025-07-29
100048,1272,219,492.15,2025-07-29
100049,4850,238,919.47,2025-07-29
100050,2908,156,499.6,2025-07-29
100051,3791,283,881.72,2025-07-29
100052,4488,223,506.18,2025-07-29
100053,2463,244,430.8,2025-07-29
100054,4361,228,225.2,2025-07-29
100055,2546,160,978.3,2025-07-29
100056,4834,289,974.37,2025-07-29
100057,4363,119,636.52,2025-07-29
100058,327,273,78.49,2025-07-29
100059,2533,199,401.53,2025-07-29
100060,3389,257,225.01,2025-07-29
100061,3921,237,733.01,2025-07-29
100062,4517,285,737.0,2025-07-29
100063,544,151,518.8,2025-07-29
100064,3216,151,956.95,2025-07-29
100065,2265,204,381.82,2025-07-29
100066,1016,239,354.33,2025-07-29
100067,2729,116,205.59,2025-07-29
100068,1733,272,523.41,2025-07-29
100069,398,128,442.74,2025-07-29
100070,841,121,145.4,2025-07-29
100071,494,132,316.26,2025-07-29
100072,1823,131,141.65,2025-07-29
100073,4857,175,264.86,2025-07-29
100074,3868,285,489.03,2025-07-29
100075,3488,111,95.91,2025-07-29
100076,255,256,335.02,2025-07-29
100077,2095,182,800.62,2025-07-29
100078,3739,252,749.25,2025-07-29
100079,4570,149,71.67,2025-07-29
100080,2738,176,461.13,2025-07-29
100081,1407,155,449.74,2025-07-29
100082,3341,140,820.28,2025-07-29
100083,542,286,46.95,2025-07-29
100084,3583,121,604.02,2025-07-29
100085,2446,123,712.19,2025-07-29
100086,3087,297,885.45,2025-07-29
100087,216,183,366.75,2025-07-29
100088,195,129,15.59,2025-07-29
100089,3459,118,823.5,2025-07-29
100090,3183,239,438.07,2025-07-29
100091,4702,111,30.09,2025-07-29
100092,1383,254,20.32,2025-07-29
100093,2278,104,738.3,2025-07-29
100094,3530,131,789.88,2025-07-29
100095,2416,214,789.92,2025-07-29
100096,136,219,714.43,2025-07-29
100097,1714,204,688.26,2025-07-29
100098,3837,293,714.22,2025-07-29
100099,779,210,233.08,2025-07-29
100100,2228,246,666.05,2025-07-29
100101,4125,221,622.39,2025-07-29
100102,1196,146,803.25,2025-07-29
100103,3525,105,754.52,2025-07-29
100104,718,225,350.78,2025-07-29
100105,3112,230,860.36,2025-07-29
100106,3379,137,972.78,2025-07-29
100107,1537,261,365.84,2025-07-29
100108,783,122,240.02,2025-07-29
100109,4665,218,435.52,2025-07-29
100110,1329,205,557.52,2025-07-29
100111,3254,105,527.91,2025-07-29
100112,2501,271,724.66,2025-07-29
100113,4199,239,906.03,2025-07-29
100114,2339,222,35.85,2025-07-29
100115,3527,149,539.35,2025-07-29
100116,4179,262,918.96,2025-07-29
100117,3126,198,284.42,2025-07-29
100118,1837,151,795.19,2025-07-29
100119,4459,142,272.18,2025-07-29
100120,3040,292,342.8,2025-07-29
100121,2048,186,15.31,2025-07-29
100122,3193,274,103.83,2025-07-29
100123,2066,164,934.55,2025-07-29
100124,4313,211,233.99,2025-07-29
100125,2583,223,481.36,2025-07-29
100126,1861,141,241.88,2025-07-29
100127,654,139,672.63,2025-07-29
100128,4969,266,652.01,2025-07-29
100129,4110,219,173.92,2025-07-29
100130,4828,267,816.2,2025-07-29
100131,2245,252,493.57,2025-07-29
100132,4584,257,85.28,2025-07-29
100133,3506,113,77.08,2025-07-29
100134,2428,157,423.92,2025-07-29
100135,3816,157,959.42,2025-07-29
100136,67,204,706.95,2025-07-29
100137,2432,137,434.76,2025-07-29
100138,2888,245,753.52,2025-07-29
100139,4129,299,78.9,2025-07-29
100140,3814,132,67.99,2025-07-29
100141,968,275,594.08,2025-07-29
100142,4551,228,278.47,2025-07-29
100143,736,124,893.1,2025-07-29
100144,2437,282,940.79,2025-07-29
100145,4055,150,908.14,2025-07-29
100146,1750,252,740.74,2025-07-29
100147,2659,229,667.74,2025-07-29
100148,321,228,15.72,2025-07-29
100149,4327,202,725.49,2025-07-29
100150,3722,156,314.2,2025-07-29
100151,2284,182,834.96,2025-07-29
100152,766,284,890.07,2025-07-29
100153,2561,119,936.26,2025-07-29
100154,244,190,727.66,2025-07-29
100155,890,293,351.58,2025-07-29
100156,3255,300,105.3,2025-07-29
100157,4179,170,998.81,2025-07-29
100158,2364,269,556.24,2025-07-29
100159,874,285,26.42,2025-07-29
100160,2990,125,524.54,2025-07-29
100161,2723,247,382.85,2025-07-29
100162,1631,169,935.21,2025-07-29
100163,2301,143,356.84,2025-07-29
100164,3064,296,515.88,2025-07-29
100165,1078,152,654.74,2025-07-29
100166,4506,257,950.6,2025-07-29
100167,2270,166,123.81,2025-07-29
100168,595,291,414.74,2025-07-29
100169,1320,268,102.5,2025-07-29
100170,2625,183,243.03,2025-07-29
100171,2623,170,707.81,2025-07-29
100172,2741,244,587.52,2025-07-29
100173,4423,300,974.75,2025-07-29
100174,1654,136,681.46,2025-07-29
100175,2882,158,869.01,2025-07-29
100176,954,287,663.41,2025-07-29
100177,3354,251,427.63,2025-07-29
100178,3512,177,811.45,2025-07-29
100179,2302,256,494.01,2025-07-29
100180,3106,165,690.05,2025-07-29
100181,2845,129,267.17,2025-07-29
100182,4786,191,17.77,2025-07-29
100183,2595,229,411.62,2025-07-29
100184,4853,230,955.17,2025-07-29
100185,1082,147,514.45,2025-07-29
100186,3278,277,765.67,2025-07-29
100187,2426,148,526.41,2025-07-29
100188,4016,134,539.72,2025-07-29
100189,2928,177,208.34,2025-07-29
100190,4241,244,503.14,2025-07-29
100191,2262,219,966.17,2025-07-29
100192,723,243,160.36,2025-07-29
100193,3757,190,547.69,2025-07-29
100194,312,227,610.78,2025-07-29
100195,4504,142,208.88,2025-07-29
100196,4383,205,927.52,2025-07-29
100197,4488,152,730.61,2025-07-29
100198,4612,258,720.92,2025-07-29
100199,2490,242,189.59,2025-07-29
100200,3382,176,850.07,2025-07-29
100201,4433,111,167.59,2025-07-29
100202,1601,176,435.22,2025-07-29
100203,2813,176,535.3,2025-07-29
100204,1169,281,742.09,2025-07-29
100205,3278,279,464.78,2025-07-29
100206,1639,111,889.69,2025-07-29
100207,1504,290,759.89,2025-07-29
100208,3027,199,472.25,2025-07-29
100209,3218,237,692.28,2025-07-29
100210,3689,248,176.69,2025-07-29
100211,4247,294,254.51,2025-07-29
100212,4620,207,645.59,2025-07-29
100213,3218,132,888.62,2025-07-29
100214,1481,298,937.62,2025-07-29
100215,4199,282,157.01,2025-07-29
100216,640,207,527.77,2025-07-29
100217,2019,276,778.47,2025-07-29
100218,678,273,596.45,2025-07-29
100219,537,136,557.59,2025-07-29
100220,2864,187,363.22,2025-07-29
100221,4940,272,824.54,2025-07-29
100222,4717,239,377.76,2025-07-29
100223,3554,102,161.99,2025-07-29
100224,2413,114,214.82,2025-07-29
100225,489,191,653.69,2025-07-29
100226,836,294,349.59,2025-07-29
100227,1463,174,715.88,2025-07-29
100228,2906,235,697.62,2025-07-29
100229,2596,188,78.9,2025-07-29
100230,4763,102,505.27,2025-07-29
100231,1214,162,458.83,2025-07-29
100232,4764,281,742.4,2025-07-29
100233,75,227,936.77,2025-07-29
100234,2857,300,743.83,2025-07-29
100235,1937,287,132.18,2025-07-29
100236,3442,233,368.74,2025-07-29
100237,4947,187,961.26,2025-07-29
100238,3467,160,243.97,2025-07-29
100239,1797,225,388.66,2025-07-29
100240,4644,290,430.05,2025-07-29
100241,2858,158,549.6,2025-07-29
100242,1104,182,103.49,2025-07-29
100243,2739,217,362.19,2025-07-29
100244,643,294,852.9,2025-07-29
100245,3464,128,725.27,2025-07-29
100246,2403,298,164.61,2025-07-29
100247,1764,220,924.29,2025-07-29
100248,2437,296,137.77,2025-07-29
100249,4967,142,970.31,2025-07-29
100250,3596,227,832.98,2025-07-29
100251,4872,244,481.47,2025-07-29
100252,4839,184,889.51,2025-07-29
100253,1474,192,635.4,2025-07-29
100254,3822,110,607.97,2025-07-29
100255,1996,101,344.91,2025-07-29
100256,1788,177,682.03,2025-07-29
100257,668,239,397.95,2025-07-29
100258,4682,146,489.46,2025-07-29
100259,541,274,848.16,2025-07-29
100260,3535,183,339.65,2025-07-29
100261,2970,237,412.7,2025-07-29
100262,1340,159,473.99,2025-07-29
100263,383,300,214.92,2025-07-29
100264,1776,270,257.57,2025-07-29
100265,581,202,402.23,2025-07-29
100266,2906,284,198.33,2025-07-29
100267,2271,105,175.39,2025-07-29
100268,2465,279,832.86,2025-07-29
100269,137,295,737.49,2025-07-29
100270,2608,156,65.71,2025-07-29
100271,4451,268,69.8,2025-07-29
100272,3670,220,497.25,2025-07-29
100273,233,260,919.51,2025-07-29
100274,2349,286,342.91,2025-07-29
100275,2294,261,681.06,2025-07-29
100276,842,134,540.08,2025-07-29
100277,4601,271,414.9,2025-07-29
100278,1823,300,718.2,2025-07-29
100279,4726,181,787.62,2025-07-29
100280,2439,121,759.68,2025-07-29
100281,4171,253,146.48,2025-07-29
100282,1383,135,189.5,2025-07-29
100283,4912,271,950.45,2025-07-29
100284,1142,225,387.92,2025-07-29
100285,4175,182,85.06,2025-07-29
100286,1084,258,643.16,2025-07-29
100287,4636,170,357.41,2025-07-29
100288,3103,105,255.44,2025-07-29
100289,2709,108,439.19,2025-07-29
100290,4616,172,550.4,2025-07-29
100291,323,136,54.46,2025-07-29
100292,3500,129,616.83,2025-07-29
100293,4484,236,990.1,2025-07-29
100294,2822,154,718.98,2025-07-29
100295,1274,279,34.01,2025-07-29
100296,2706,281,964.8,2025-07-29
100297,4908,222,238.87,2025-07-29
100298,364,242,725.72,2025-07-29
100299,2527,265,571.7,2025-07-29
100300,4552,275,112.27,2025-07-29
100301,904,174,899.66,2025-07-29
100302,2822,184,656.87,2025-07-29
100303,1475,113,565.2,2025-07-29
100304,3958,266,97.16,2025-07-29
100305,4495,215,275.12,2025-07-29
100306,21,173,907.86,2025-07-29
100307,3120,260,698.6,2025-07-29
100308,4341,118,619.74,2025-07-29
100309,3820,217,956.28,2025-07-29
100310,4378,280,842.65,2025-07-29
100311,3362,206,168.09,2025-07-29
100312,456,232,147.26,2025-07-29
100313,4462,199,113.08,2025-07-29
100314,1977,173,716.46,2025-07-29
100315,4421,159,443.83,2025-07-29
100316,1576,250,619.93,2025-07-29
100317,566,123,524.78,2025-07-29
100318,3124,170,816.79,2025-07-29
100319,4148,243,229.95,2025-07-29
100320,4937,110,605.21,2025-07-29
100321,2362,123,675.58,2025-07-29
100322,4670,193,323.38,2025-07-29
100323,1179,123,698.2,2025-07-29
100324,1897,183,665.35,2025-07-29
100325,1465,114,151.43,2025-07-29
100326,2085,214,925.45,2025-07-29
100327,4009,285,993.03,2025-07-29
